,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01-01,,,,,,,,3020.56,3420.77,1070.63,1830.21,,,1430.91,1380.75,1300.31,1360.09,,1300.5,,,,
01-02,,,,,,,,3020.56,3420.77,1070.63,,,1710.37,1430.91,1380.75,1300.31,,1540.55,1300.5,,,,
01-03,,,,,,,,3020.56,3420.77,,,1930.62,1770.47,1430.91,1380.75,,,1570.7,1320.2,1560.28,2590.0,,3530.73
01-04,,,,,,,,3020.56,3420.77,,1830.21,1930.62,1760.67,1430.91,,,1340.91,1570.44,1350.89,1590.15,,2150.73,3520.55
01-05,,,,,,,,3020.56,,1070.63,1830.21,1930.62,1770.61,,,1330.95,1360.45,1540.0,1370.12,,,2140.39,3350.0
01-06,,,,,,,,,,1070.63,1830.21,1930.62,1760.53,,1350.24,1380.92,1350.94,1540.1,,,2560.55,2150.35,3460.13
01-07,,,,,,,,,3420.77,1070.63,1830.21,1930.62,,1430.91,1350.24,1380.92,1350.94,,,,,,
01-08,,,,,,,,3020.56,3420.77,1070.63,1830.21,,,1470.64,1370.05,1460.46,1350.94,,1370.12,1580.26,2550.79,2240.05,
01-09,,,,,,,,2870.59,3520.24,1070.63,,,1770.13,1480.85,1380.71,1410.7,,1540.4,1400.0,1600.24,2540.07,,
01-10,,,,,,,,2900.23,3520.72,,,1930.62,1790.45,1470.51,1390.78,,,1570.97,1430.43,1600.2,2510.9,,3440.0
01-11,,,,,,,,2920.21,3560.2,,1940.49,1940.08,1780.17,1480.08,,,1310.38,1570.01,1440.58,1610.0,,2270.4,3430.74
01-12,,,,,,,,2870.54,,1130.85,1910.75,2000.43,1770.85,,,1400.22,1330.54,1570.25,1430.99,,,2270.8,3470.43
01-13,,,,,,,,,,1140.73,1890.25,1970.22,1780.83,,1380.89,1420.64,1310.3,1570.95,,,2510.5,2270.78,3370.6
01-14,,,,,,,,,3630.81,1080.93,1900.7,1950.92,,1490.52,1370.4,1460.3,1300.86,,,1600.48,2500.0,2280.08,3350.76
01-15,,,,,,,,2940.51,3590.74,1070.0,1870.59,,,1470.95,1370.39,1470.0,1250.1,,1420.99,1580.15,2510.3,2260.0,
01-16,,,,,,,,2880.19,3410.84,1080.11,,,1780.6,1460.33,1370.3,1490.6,,1550.81,1450.29,1560.9,2540.26,,
01-17,,,,,,,,2790.6,3310.83,,,1980.82,1810.69,1470.51,1370.2,,,1530.65,1480.7,1570.1,2550.39,,3270.81
01-18,,,,,,,,2810.34,3270.69,,1900.13,1980.8,1820.85,1480.47,,,1240.6,1520.86,1500.35,1590.2,,2280.25,3010.11
01-19,,,,,,,,2840.83,,1050.52,1890.88,1980.54,1850.48,,,1480.11,1250.98,1500.85,1490.13,,,2230.02,3180.36
01-20,,,,,,,,,,1050.03,1860.05,1940.16,1830.65,,1390.75,1450.75,1250.83,1490.7,,,2530.5,2240.37,3100.42
01-21,,,,,,,,,3060.15,1080.06,1820.88,1920.87,,1470.64,1450.71,1480.8,1270.75,,,1580.3,2520.99,2180.3,3110.6
01-22,,,,,,,,2880.83,3050.78,1040.18,1810.15,,,1450.85,1460.15,1510.5,1320.4,,1500.3,1580.5,2480.1,2140.84,
01-23,,,,,,,2180.85,2860.23,2970.22,1010.91,,,1840.19,1460.63,1450.8,1520.83,,1480.1,1480.8,1590.9,2390.3,,
