,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01-01,,,,,,,,166.42,184.42,48.49,170.1,,,345.96,399.7,434.6,591.0,,677.7,,,,
01-02,,,,,,,58.0,166.42,184.42,48.49,,,393.94,345.96,399.7,434.6,,791.9,677.7,,,,
01-03,,,,,,30.13,58.0,166.42,184.42,,,335.77,399.58,345.96,399.7,,,783.0,695.1,1118.2,1264.0,,1774.4
01-04,,,,,,30.13,58.0,166.42,184.42,,170.1,335.77,395.18,345.96,,,571.0,775.0,697.3,1138.8,,1260.0,1788.6
01-05,,,,,,30.13,58.0,166.42,,48.49,170.1,335.77,393.48,,,455.5,573.6,756.4,701.0,,,1269.8,1707.8
01-06,,,,,,30.13,58.0,,,48.49,170.1,335.77,394.83,,393.77,476.7,568.0,754.9,,,1271.0,1304.0,1749.0
01-07,,,,,,30.13,,,184.42,48.49,170.1,335.77,,345.96,393.77,476.7,568.0,,,,,,
01-08,,,,,,,,166.42,184.42,48.49,170.1,,,347.2,389.0,483.0,568.0,,701.0,1118.2,1325.4,1369.4,
01-09,,,,,,,58.0,150.72,194.93,48.49,,,395.67,347.37,385.65,475.1,,755.4,695.4,1121.0,1339.4,,
01-10,,,,,,30.13,58.0,149.1,198.09,,,335.77,401.55,344.16,387.35,,,766.7,685.4,1132.5,1306.8,,1758.6
01-11,,,,,,30.13,58.0,155.08,206.08,,177.5,328.14,395.47,342.65,,,550.5,748.7,687.4,1129.4,,1402.8,1779.8
01-12,,,,,,30.13,58.0,154.5,,58.68,174.57,335.61,392.98,,,470.7,567.0,752.4,679.2,,,1399.8,1807.4
01-13,,,,,,30.13,58.0,,,60.07,177.07,332.08,390.65,,397.0,489.4,572.8,739.9,,,1305.6,1421.6,1744.2
01-14,,,,,,30.13,,,212.01,57.67,181.72,330.25,,344.98,398.06,497.9,576.1,,,1128.9,1259.0,1444.4,1726.0
01-15,,,,,,,,159.13,208.26,54.62,179.58,,,339.86,400.0,483.2,543.7,,690.4,1130.8,1260.0,1384.0,
01-16,,,,,,,58.0,156.62,193.47,56.0,,,388.64,330.82,393.08,490.0,,741.1,686.9,1124.9,1264.0,,
01-17,,,,,,30.13,58.0,151.7,190.39,,,329.26,392.39,331.63,400.3,,,736.8,689.1,1127.5,1255.4,,1641.8
01-18,,,,,,30.13,58.0,152.02,190.08,,183.17,326.16,392.15,337.56,,,559.5,732.6,693.0,1130.0,,1395.2,1579.6
01-19,,,,,,30.13,58.0,153.16,,56.82,189.86,328.35,390.38,,,487.0,561.8,720.2,700.0,,,1381.0,1593.6
01-20,,,,,,30.13,58.0,,,56.08,188.05,323.36,387.3,,405.5,475.0,553.7,723.3,,,1243.0,1384.4,1588.4
01-21,,,,,,30.13,,,179.84,59.35,185.18,324.97,,337.16,405.8,490.4,568.1,,,1122.0,1242.0,1349.2,1592.8
01-22,,,,,,,,156.28,178.25,57.43,184.24,,,333.92,405.87,523.7,593.5,,704.0,1116.4,1196.8,1354.4,
01-23,,,,,,,58.0,154.83,174.29,57.0,,,389.34,341.44,416.5,512.0,,704.5,703.9,1124.0,1212.4,,
01-24,,,,,,30.13,58.0,155.98,178.51,,,317.86,386.03,337.53,407.0,,,740.9,709.0,1098.3,1202.0,,1538.0
01-25,,,,,,30.13,58.0,155.99,180.35,,185.79,309.11,386.52,339.11,,,595.7,751.7,717.2,1115.0,,1372.6,1590.0
01-26,,,,,,30.13,78.9,151.16,,66.4,181.66,322.46,387.61,,,504.0,577.0,769.0,718.6,,,1369.0,1523.4
01-27,,,,,,30.74,79.58,,,64.96,183.84,318.86,388.01,,404.47,505.5,600.0,780.0,,,1176.6,1337.8,1611.8
01-28,,,,,,30.74,,,173.99,67.0,184.73,310.05,,344.25,392.2,488.0,618.4,,,1118.6,1168.2,1326.4,1591.4
01-29,,,,,,,,147.86,173.69,64.31,185.04,,,341.33,389.95,480.4,639.2,,714.7,1133.5,1199.0,1274.0,
01-30,,,,,,,82.55,147.19,168.57,65.49,,,388.6,340.03,390.73,460.0,,772.8,711.6,1139.3,1193.6,,
01-31,,,,,,30.74,81.53,145.98,159.11,,,310.63,391.73,334.11,393.47,,,759.8,727.7,1145.0,1155.6,,1637.2
02-01,,,,,,30.73,81.53,150.3,166.04,,183.98,318.66,400.02,338.16,,,630.0,764.8,732.0,1125.2,,1290.0,1628.4
02-02,,,,,,30.94,81.53,151.21,,66.68,185.77,322.98,399.94,,,472.0,622.1,746.0,733.0,,,1352.2,1612.0
02-03,,,,,,31.2,81.53,,,68.95,184.72,319.97,402.46,,388.89,482.3,613.0,763.3,,,1140.0,1335.0,1614.8
02-04,,,,,,31.74,,,173.56,70.61,179.87,325.81,,338.56,388.47,478.5,636.0,,,1138.0,1143.6,1335.4,1628.4
02-05,,,,,,,,152.67,171.11,71.54,169.97,,,336.72,395.56,500.2,623.3,,728.0,1143.4,1153.8,1361.8,
02-06,,,,,,,81.53,155.28,169.78,77.93,,,405.04,336.23,400.4,522.2,,759.8,729.7,1126.4,1097.6,,
02-07,,,,,,33.53,81.53,154.49,163.59,,,325.59,400.59,335.18,408.0,,,761.1,736.4,1130.0,1072.0,,1602.0
02-08,,,,,,33.53,81.53,149.11,160.39,,164.96,317.61,392.42,335.73,,,604.1,755.0,731.0,1127.6,,1395.4,1628.2
02-09,,,,,,33.53,80.0,149.56,,87.74,166.54,317.2,389.9,,,527.5,604.9,735.2,714.4,,,1373.8,1659.0
02-10,,,,,,33.53,80.0,,,92.8,165.52,311.75,383.69,,403.81,520.0,615.8,744.2,,,1047.2,1340.8,1632.0
02-11,,,,,,34.0,,,166.84,88.51,168.44,314.74,,339.32,409.61,530.9,597.0,,,1114.2,1060.0,1340.4,1556.6
