,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01-01,,,,,,,,4092.0,6466.63,1967.07,4239.78,,,5606.0,5400.0,8080.0,9150.0,,10850.0,,,,
01-02,,,,,,,,4092.0,6466.63,1967.07,,,4943.0,5606.0,5400.0,8080.0,,10122.0,10850.0,,,,
01-03,,,,,,,,4092.0,6466.63,,,7169.42,5025.0,5606.0,5400.0,,,10245.0,11302.0,12993.0,19448.0,,23378.0
01-04,,,,,,,,4092.0,6466.63,,4239.78,7169.42,4995.0,5606.0,,,8922.0,10195.0,11585.0,13070.0,,24550.0,23314.0
01-05,,,,,,,,4092.0,,1967.07,4239.78,7169.42,4865.0,,,8590.0,9085.0,10025.0,11565.0,,,24538.0,23010.0
01-06,,,,,,,,,,1967.07,4239.78,7169.42,4856.0,,5272.0,9101.0,8990.0,10040.0,,,19588.0,25002.0,23280.0
01-07,,,,,,,,,6466.63,1967.07,4239.78,7169.42,,5606.0,5272.0,9101.0,8990.0,,,,,,
01-08,,,,,,,,4092.0,6466.63,1967.07,4239.78,,,5744.0,5150.0,9550.0,8990.0,,11565.0,13128.0,19850.0,26318.0,
01-09,,,,,,,,3773.37,6394.75,1967.07,,,4927.0,5875.0,5140.0,9740.0,,10115.0,11675.0,13229.0,19838.0,,
01-10,,,,,,,,3718.3,6512.06,,,7169.42,5211.0,5939.0,5215.0,,,10397.0,11655.0,13343.0,19878.0,,23508.0
01-11,,,,,,,,3890.02,6471.15,,4700.91,7286.71,5252.0,5930.0,,,8600.0,10439.0,11662.0,13437.0,,26386.0,23734.0
01-12,,,,,,,,3876.82,,1912.88,4642.84,7498.77,5357.0,,,9839.0,8553.0,9994.0,11600.0,,,25814.0,24040.0
01-13,,,,,,,,,,1864.03,4668.51,7405.53,5343.0,,5461.0,10025.0,8614.0,9756.0,,,20362.0,25910.0,22836.0
01-14,,,,,,,,,6534.55,1698.3,4895.78,7402.79,,5995.0,5381.0,9600.0,8464.0,,,13389.0,20000.0,26310.0,22648.0
01-15,,,,,,,,4109.5,6475.23,1578.89,4870.11,,,5959.0,5439.0,9290.0,8050.0,,11750.0,13389.0,20396.0,25710.0,
01-16,,,,,,,,4079.97,6198.32,1559.65,,,5345.0,5981.0,5462.0,9561.0,,9761.0,11375.0,13180.0,20900.0,,
01-17,,,,,,,,4068.65,5939.41,,,7462.24,5472.0,5959.0,5524.0,,,9615.0,11498.0,13282.0,21524.0,,21820.0
01-18,,,,,,,,4229.62,5933.66,,5022.73,7497.61,5468.0,6026.0,,,8290.0,9549.0,11560.0,13359.0,,25816.0,20694.0
01-19,,,,,,,,4222.33,,1470.55,5037.07,7460.61,5467.0,,,9417.0,8540.0,9590.0,11470.0,,,25826.0,22024.0
01-20,,,,,,,,,,1388.45,4942.0,7421.97,5452.0,,5543.0,9470.0,8649.0,9360.0,,,21850.0,26552.0,22300.0
01-21,,,,,,,,,5458.63,1390.9,4900.61,7499.87,,6068.0,5597.0,9675.0,9130.0,,,13353.0,21450.0,26488.0,22100.0
01-22,,,,,,,,4339.73,5447.98,1305.59,4811.65,,,5981.0,5547.0,10386.0,9100.0,,11488.0,13306.0,21310.0,26120.0,
01-23,,,,,,,,4351.97,5281.09,1228.38,,,5555.0,6089.0,5530.0,10400.0,,9424.0,11198.0,13378.0,21146.0,,
01-24,,,,,,,,4372.91,5590.82,,,7529.35,5550.0,6045.0,5501.0,,,9486.0,11325.0,13369.0,21188.0,,21250.0
01-25,,,,,,,,4343.61,5950.98,,4728.64,7512.88,5668.0,6063.0,,,9050.0,9535.0,11537.0,13312.0,,25916.0,21466.0
01-26,,,,,,,,4288.03,,1312.25,4598.38,7518.71,5780.0,,,10755.0,8880.0,9790.0,11420.0,,,25826.0,21788.0
01-27,,,,,,,,,,1296.71,4611.84,7604.0,5810.0,,5466.0,11179.0,8991.0,9792.0,,,21100.0,25110.0,22066.0
01-28,,,,,,,,,5796.86,1322.37,4720.08,7683.42,,6016.0,5345.0,11534.0,8970.0,,,13089.0,21282.0,25224.0,22082.0
01-29,,,,,,,,4307.1,5919.62,1356.0,4720.74,,,5971.0,5322.0,11450.0,8850.0,,11539.0,13260.0,21230.0,24520.0,
01-30,,,,,,,,4319.75,5846.22,1494.26,,,5706.0,5979.0,5366.0,11610.0,,9772.0,11483.0,13639.0,20880.0,,
01-31,,,,,,,,4396.99,5707.34,,,7484.03,5833.0,5981.0,5380.0,,,9629.0,11608.0,13596.0,20800.0,,21916.0
02-01,,,,,,,,4627.1,6095.14,,4674.45,7513.2,5887.0,5971.0,,,8698.0,9848.0,11639.0,13534.0,,24688.0,21948.0
02-02,,,,,,,,4684.38,,1481.19,4770.35,7591.91,5782.0,,,11280.0,8924.0,10255.0,11496.0,,,24912.0,21670.0
02-03,,,,,,,,,,1450.83,4734.16,7469.13,5856.0,,5318.0,10990.0,8770.0,10089.0,,,20410.0,25206.0,21392.0
02-04,,,,,,,,,6583.69,1477.4,4584.51,7442.25,,5935.0,5309.0,10750.0,8999.0,,,13500.0,20898.0,25766.0,21400.0
02-05,,,,,,,,4748.31,6419.42,1427.95,4480.72,,,5962.0,5439.0,11100.0,9005.0,,11581.0,13588.0,21316.0,25270.0,
02-06,,,,,,,,4793.23,6633.17,1554.75,,,5867.0,5938.0,5504.0,11394.0,,9922.0,11308.0,13690.0,21240.0,,
02-07,,,,,,,,4800.66,6542.12,,,7379.35,5887.0,5938.0,5600.0,,,10136.0,11268.0,13650.0,21200.0,,21580.0
02-08,,,,,,,,4660.56,6493.29,,4500.65,7239.09,5936.0,5882.0,,,8870.0,10135.0,11110.0,13732.0,,25780.0,22372.0
02-09,,,,,,,,4695.38,,1616.78,4568.09,7060.18,5740.0,,,11352.0,8650.0,9999.0,11101.0,,,25396.0,22674.0
02-10,,,,,,,,,,1871.0,4466.92,6853.35,5628.0,,5568.0,11345.0,8510.0,10072.0,,,21442.0,25238.0,22454.0
02-11,,,,,,,,,6722.06,2026.2,4439.91,7145.45,,5904.0,5562.0,11697.0,8376.0,,,13702.0,21910.0,25428.0,21688.0
02-12,,,,,,,,4496.6,7066.65,1942.61,4405.69,,,5845.0,5605.0,12037.0,8350.0,,11147.0,13780.0,21966.0,25326.0,
02-13,,,,,,,,4665.59,7109.44,2151.57,,,5825.0,5884.0,5578.0,12106.0,,9890.0,11500.0,13552.0,21510.0,,
02-14,,,,,,,,4706.68,7008.83,,,7127.1,5759.0,5673.0,5695.0,,,9740.0,11761.0,13740.0,21530.0,,22082.0
02-15,,,,,,,,4752.16,6812.08,,4483.1,7064.93,5803.0,5548.0,,,8345.0,9940.0,11785.0,13750.0,,26184.0,22324.0
02-16,,,,,,,,4797.04,,2026.48,4624.19,6972.92,5683.0,,,11900.0,8486.0,9957.0,10810.0,,,26236.0,22304.0
02-17,,,,,,,,,,1716.34,4599.86,6819.69,5658.0,,5773.0,11375.0,8633.0,9720.0,,,21790.0,26350.0,21774.0
02-18,,,,,,,,,7087.79,1577.59,4618.42,6705.36,,5532.0,5810.0,11140.0,8880.0,,,13660.0,21818.0,26642.0,21450.0
02-19,,,,,,,,4786.2,7144.68,1698.9,4709.93,,,5675.0,5825.0,11355.0,8745.0,,11171.0,13800.0,22520.0,28082.0,
02-20,,,,,,,,4784.47,7144.26,1621.09,,,5764.0,5564.0,5830.0,11330.0,,9585.0,11060.0,14250.0,22342.0,27020.0,
02-21,,,,,,,,4789.94,7348.55,,,6825.81,5653.0,5494.0,5891.0,,,9677.0,11300.0,14052.0,22220.0,,19252.0
02-22,,,,,,,,4881.2,7330.76,,4709.93,6785.01,5539.0,5495.0,,,8750.0,9600.0,11380.0,14122.0,,25900.0,21150.0
02-23,,,,,,,,4881.2,,1621.09,4709.93,6785.01,5539.0,,,11330.0,8750.0,9600.0,11380.0,,,,
02-24,,,,,,,,,,1585.43,4529.27,6581.26,5737.0,,5946.0,11348.0,8750.0,9498.0,,,,24710.0,18200.0
02-25,,,,,,,,,7330.76,1603.95,4441.85,6853.04,,5572.0,5909.0,11061.0,8750.0,,,14594.0,21554.0,23380.0,19052.0
02-26,,,,,,,,4939.37,7281.54,1717.73,4523.24,,,5493.0,5853.0,11093.0,8935.0,,11874.0,14420.0,21826.0,23350.0,
02-27,,,,,,,,4733.94,7197.72,1693.64,,,5760.0,5510.0,5880.0,11182.0,,9341.0,11550.0,14302.0,21238.0,,
02-28,,,,,,,,4632.06,7025.19,,,7007.94,5718.0,5416.0,5989.0,,,9311.0,11159.0,14114.0,20250.0,,
02-29,,,,,,,,,6966.29,,,,5777.0,,,,9142.0,,,,,,
03-01,,,,,,,,4452.6,,,4725.57,7008.0,5754.0,5344.0,,,9105.0,9371.0,11173.0,14100.0,,24116.0,
03-02,,,,,,,,4413.84,,1613.33,4711.87,7139.0,5880.0,,,11269.0,9093.0,9306.0,11248.0,,20160.0,23708.0,
03-03,,,,,,,,,7189.89,1647.63,4809.34,7109.0,,,5715.0,11480.0,9190.0,9336.0,,,20714.0,23240.0,
03-04,,,,,,,,,7195.72,1746.9,4850.99,7140.0,,5274.0,5915.0,11140.0,9300.0,,,13794.0,20756.0,22416.0,
03-05,,,,,,,,4259.67,7179.72,1685.25,4931.6,,5939.0,5433.0,6000.0,11180.0,,,11199.0,13770.0,20780.0,22030.0,
03-06,,,,,,,,4382.25,7251.68,1723.64,,,5656.0,5477.0,6194.0,10990.0,,9324.0,11161.0,14442.0,21762.0,,
03-07,,,,,,,,4320.47,7114.61,,,7188.0,5670.0,5459.0,6273.0,,9494.0,9061.0,11039.0,14442.0,,,
03-08,,,,,,,,4320.47,,,4931.6,7188.0,5670.0,5459.0,,,9494.0,9061.0,,,,,
03-09,,,,,,,,4485.54,,1723.64,4865.17,7128.0,5670.0,,,10990.0,9300.0,8807.0,11003.0,,,22756.0,
03-10,,,,,,,,,7114.61,1833.06,4900.93,6881.0,,,6273.0,10425.0,9281.0,8855.0,,,21230.0,23006.0,
03-11,,,,,,,,,7160.66,1724.23,4877.63,6769.0,,5500.0,6184.0,10588.0,9221.0,,,14100.0,20238.0,23248.0,
03-12,,,,,,,,4455.29,7008.73,1831.73,4965.23,,5736.0,5434.0,5905.0,10730.0,,,11098.0,14380.0,18500.0,23680.0,
03-13,,,,,,,,4532.44,6902.93,1860.66,,,5786.0,5320.0,5802.0,10380.0,,8965.0,11082.0,13850.0,18038.0,,
03-14,,,,,,,,4350.35,6899.58,,,6913.0,5900.0,5332.0,5770.0,,9150.0,9097.0,10849.0,13952.0,,,
03-15,,,,,,,,4562.95,,,4903.19,7020.0,5879.0,5293.0,,,9202.0,9057.0,10793.0,14226.0,,23986.0,
03-16,,,,,,,,4622.88,,1981.9,4969.63,7009.0,5811.0,,,10298.0,9119.0,9054.0,10945.0,,17090.0,23058.0,
03-17,,,,,,,,,6542.01,1993.45,5072.71,7159.0,,,5890.0,10595.0,9243.0,9169.0,,,17180.0,22736.0,
03-18,,,,,,,,,6623.28,1934.52,4990.55,7160.0,,5175.0,6111.0,10692.0,9490.0,,,14284.0,15500.0,22742.0,
03-19,,,,,,,,4753.85,6567.09,2093.51,4975.26,,5744.0,5170.0,6008.0,10410.0,,,10938.0,14350.0,16252.0,22712.0,
03-20,,,,,,,,4749.87,6488.88,2331.69,,,5520.0,5182.0,5841.0,10501.0,,9011.0,10840.0,14316.0,16358.0,,
03-21,,,,,,,,4676.39,6476.28,,,7195.0,5356.0,5181.0,5902.0,,9390.0,9109.0,11009.0,14290.0,,,
03-22,,,,,,,,4777.28,,,4928.8,7107.0,5388.0,5160.0,,,9440.0,9180.0,10986.0,14280.0,,22694.0,
03-23,,,,,,,,4777.53,,2480.04,4972.02,7223.0,5362.0,,,10420.0,9240.0,9182.0,10887.0,,16240.0,22252.0,
03-24,,,,,,,,,6624.73,2203.9,4933.74,7283.0,,,5910.0,10330.0,9020.0,9165.0,,,19028.0,21418.0,20990.0
03-25,,,,,,,,,6515.64,2176.35,5043.76,7491.0,,5046.0,6025.0,10500.0,9046.0,,,14280.0,19930.0,21020.0,21070.0
03-26,,,,,,,,4782.13,6500.28,2266.05,5152.13,,5366.0,5122.0,5850.0,10310.0,,,10862.0,14300.0,20100.0,21988.0,
03-27,,,,,,,,4799.89,6610.8,2135.02,,,5422.0,5144.0,5875.0,9905.0,,8891.0,10779.0,13874.0,19306.0,,
03-28,,,,,,,,4790.95,6695.36,,,7564.0,5388.0,5237.0,5823.0,,8995.0,9011.0,10639.0,13436.0,,,20850.0
03-29,,,,,,,,4860.9,,,5381.6,7427.0,5346.0,5246.0,,,8935.0,8985.0,10688.0,13720.0,,23028.0,20028.0
03-30,,,,,,,,4816.83,,2088.19,5386.66,7515.0,5400.0,,,10530.0,8950.0,8989.0,10771.0,,19462.0,23250.0,20462.0
03-31,,,,,,,,,6612.01,2064.19,5431.41,7468.0,,,5865.0,10399.0,8700.0,8929.0,,,19518.0,23790.0,20974.0
04-01,,,,,,,,,6629.27,2072.48,5641.24,7674.0,,5204.0,5963.0,10539.0,8460.0,,,13994.0,18952.0,23690.0,21500.0
04-02,,,,,,,,4854.38,6601.55,2241.97,5626.82,,5398.0,5254.0,6090.0,10090.0,,,10898.0,14160.0,18998.0,23838.0,
04-03,,,,,,,,4956.22,6432.03,2289.06,,,5498.0,5257.0,6051.0,10237.0,,8974.0,10804.0,14186.0,19032.0,,
04-04,,,,,,,,5047.39,6365.2,,,7814.0,5339.0,5262.0,6135.0,,8459.0,9000.0,10746.0,14288.0,,,21750.0
04-05,,,,,,,,5116.51,,,5601.94,7749.0,5393.0,5226.0,,,8700.0,9186.0,10738.0,14332.0,,23780.0,20986.0
04-06,,,,,,,,5139.53,,2267.01,5544.77,7757.0,5324.0,,,10200.0,8799.0,9133.0,10699.0,,19590.0,23200.0,21150.0
04-07,,,,,,,,,6613.59,2322.3,5413.0,7639.0,,,6118.0,10125.0,8688.0,9025.0,,,19780.0,23576.0,21050.0
04-08,,,,,,,,,6700.35,2482.1,5441.57,7610.0,,5171.0,6240.0,9986.0,8629.0,,,14348.0,20164.0,23800.0,21112.0
04-09,,,,,,,,5236.08,6984.1,2673.82,5529.0,,5344.0,5304.0,6209.0,9740.0,,,9072.0,14400.0,21138.0,24402.0,
04-10,,,,,,,,5336.27,6929.21,2779.45,,,5280.0,5318.0,6376.0,9936.0,,8956.0,9544.0,14440.0,20650.0,,
04-11,,,,,,,,5317.72,6816.01,,,7617.0,5267.0,5190.0,6471.0,,8783.0,8964.0,10069.0,14230.0,,,21006.0
04-12,,,,,,,,5210.11,,,5609.11,7545.0,5241.0,5158.0,,,8730.0,8924.0,10169.0,14418.0,,25350.0,20990.0
04-13,,,,,,,,5265.29,,2704.52,5630.61,7760.0,5237.0,,,9839.0,9121.0,8775.0,10441.0,,20100.0,25250.0,20794.0
04-14,,,,,,,,,6733.48,2655.92,5763.45,7661.0,,,6499.0,9520.0,9150.0,8710.0,,,20702.0,24972.0,20004.0
04-15,,,,,,,,,6705.89,2608.3,5809.76,7702.0,,4989.0,6415.0,9632.0,9120.0,,,14392.0,19646.0,25144.0,20240.0
04-16,,,,,,,,5296.91,6876.22,2629.12,5636.3,,5100.0,4911.0,6448.0,9480.0,,,10000.0,14558.0,19520.0,25500.0,
04-17,,,,,,,,5196.05,6756.68,2649.02,,,5077.0,4829.0,6440.0,9460.0,,8841.0,10078.0,14600.0,19718.0,,
04-18,,,,,,,,5112.14,6901.78,,,7345.0,5105.0,4908.0,6440.0,,9270.0,8556.0,10404.0,14510.0,,,19886.0
04-19,,,,,,,,4995.0,,,5533.54,7488.0,5258.0,4981.0,,,9241.0,8553.0,10778.0,14510.0,,25296.0,19676.0
04-20,,,,,,,,5199.01,,2618.15,5604.59,7691.0,5330.0,,,9590.0,9259.0,8620.0,10591.0,,20036.0,25242.0,20590.0
04-21,,,,,,,,,6807.42,2522.81,5485.09,7664.0,,,6393.0,9700.0,9368.0,8538.0,,,19240.0,25206.0,20454.0
04-22,,,,,,,,,6797.58,2625.08,5359.94,7698.0,,4991.0,6424.0,9600.0,9750.0,,,14528.0,19614.0,25742.0,19700.0
04-23,,,,,,,,5239.46,6786.94,2692.16,5585.5,,5147.0,4925.0,6428.0,9530.0,,,10745.0,14430.0,20216.0,25836.0,
04-24,,,,,,,,5189.43,6577.39,2631.36,,,5113.0,5090.0,6420.0,9719.0,,8685.0,10832.0,14316.0,20150.0,,
04-25,,,,,,,,5138.24,6651.97,,,7548.0,5098.0,5040.0,6491.0,,9631.0,8873.0,10771.0,14470.0,,,19900.0
04-26,,,,,,,,5059.63,,,5662.32,7669.0,5085.0,5232.0,,,9750.0,8890.0,10948.0,14720.0,,26450.0,20994.0
04-27,,,,,,,,4882.96,,2647.1,5600.24,7629.0,5189.0,,,9665.0,9700.0,8750.0,10897.0,,20034.0,26860.0,21272.0
04-28,,,,,,,,,6588.76,2626.72,5466.1,7626.0,,,6460.0,9673.0,9709.0,8747.0,10924.0,,20054.0,26250.0,21000.0
04-29,,,,,,,,,6496.46,2685.16,5724.2,7643.0,,5221.0,6425.0,9552.0,9409.0,,,14490.0,20596.0,26350.0,21550.0
04-30,,,,,,,,4937.05,6404.68,2786.02,5642.59,,5201.0,5152.0,6405.0,9640.0,,,10967.0,14342.0,20478.0,25660.0,
05-01,,,,,,,,4937.05,6404.68,2786.02,,,5201.0,5152.0,6405.0,9640.0,,8747.0,,,,,
05-02,,,,,,,,4925.32,6404.68,,,7643.0,5170.0,4753.0,6409.0,,9409.0,8809.0,11010.0,14280.0,,,
05-03,,,,,,,,5158.67,,,5642.59,7237.0,5166.0,4807.0,,,9409.0,8688.0,10953.0,14238.0,,,
05-04,,,,,,,,5177.59,,2904.11,5308.16,7133.0,4929.0,,,9640.0,9100.0,8701.0,10943.0,,20126.0,26100.0,21352.0
05-05,,,,,,,,,6510.89,2913.79,5051.69,7094.0,,,6390.0,10170.0,8809.0,8765.0,,,20034.0,26686.0,21544.0
05-06,,,,,,,,,6428.53,3036.91,5001.22,7223.0,,4837.0,6415.0,10500.0,8760.0,,,14400.0,19940.0,26862.0,21766.0
05-07,,,,,,,,5218.31,6488.18,3174.62,4628.61,,4909.0,4910.0,6682.0,10201.0,,,11179.0,14152.0,20224.0,27058.0,
05-08,,,,,,,,5118.31,6625.08,3232.16,,,4926.0,4924.0,6784.0,10540.0,,8765.0,10984.0,14108.0,20144.0,,
05-09,,,,,,,,5118.31,6625.08,,,7223.0,4926.0,4924.0,6784.0,,8760.0,8765.0,,,,,
05-10,,,,,,,,5090.54,,,4628.61,7381.0,4993.0,4920.0,,,8815.0,8658.0,10767.0,13922.0,,27154.0,
05-11,,,,,,,,4967.28,,3232.16,4818.73,7155.0,4996.0,,,10540.0,8850.0,8500.0,10794.0,,,27350.0,21330.0
05-12,,,,,,,,,6693.17,3387.63,5042.58,7301.0,,,6750.0,10680.0,8911.0,8405.0,,,21016.0,27390.0,21238.0
05-13,,,,,,,,,6820.48,3181.56,5052.12,7292.0,,4816.0,6757.0,10435.0,8986.0,,,13970.0,20762.0,27378.0,21200.0
05-14,,,,,,,,4997.09,6988.75,3145.56,4965.59,,4899.0,4821.0,6689.0,10245.0,,,10657.0,13954.0,20104.0,27356.0,
05-15,,,,,,,,4954.93,7032.65,3139.46,,,4916.0,4715.0,6617.0,10288.0,,8530.0,10857.0,13800.0,20206.0,,
05-16,,,,,,,,5025.44,7095.66,,,7166.0,5067.0,4597.0,6625.0,,8930.0,8402.0,10895.0,13560.0,,,21364.0
05-17,,,,,,,,4904.05,,,5185.45,7013.0,4927.0,4667.0,,,8930.0,8372.0,10798.0,13590.0,,27386.0,21348.0
