,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01-01,,,,,,,,243.88,231.1,110.29,251.98,,,270.11,251.54,195.8,253.25,,291.5,,,,
01-02,,,,,,,,243.88,231.1,110.29,,,213.98,270.11,251.54,195.8,,402.8,291.5,,,,
01-03,,,,,,,,243.88,231.1,,,218.7,218.31,270.11,251.54,,,419.5,297.95,425.85,456.9,,610.95
01-04,,,,,,,,243.88,231.1,,251.98,218.7,222.04,270.11,,,251.0,406.4,307.0,430.4,,442.05,613.5
01-05,,,,,,,,243.88,,110.29,251.98,218.7,218.89,,,196.75,253.2,399.0,311.95,,,445.6,590.3
01-06,,,,,,,,,,110.29,251.98,218.7,221.22,,243.02,200.3,252.4,392.5,,,455.6,454.15,601.6
01-07,,,,,,,,,231.1,110.29,251.98,218.7,,270.11,243.02,200.3,252.4,,,,,,
01-08,,,,,,,,243.88,231.1,110.29,251.98,,,268.34,241.96,214.95,252.4,,311.95,423.6,452.0,474.55,
01-09,,,,,,,,227.35,227.52,110.29,,,221.73,269.01,241.87,206.6,,394.0,315.1,427.7,460.2,,
01-10,,,,,,,,226.32,230.62,,,218.7,227.14,266.97,242.51,,,404.4,317.75,432.1,473.5,,602.0
01-11,,,,,,,,227.77,223.44,,271.49,225.09,227.64,265.44,,,241.05,397.5,325.0,434.6,,473.0,613.6
01-12,,,,,,,,225.99,,117.96,266.48,233.71,226.05,,,204.0,239.9,390.95,324.35,,,475.0,627.7
01-13,,,,,,,,,,119.49,267.94,234.1,226.04,,240.65,204.9,239.6,388.0,,,481.15,488.05,603.3
01-14,,,,,,,,,224.07,109.75,268.22,232.28,,267.0,242.1,209.5,237.65,,,427.9,475.5,504.0,605.5
01-15,,,,,,,,239.85,221.7,108.76,267.68,,,265.46,246.2,219.9,232.1,,319.95,424.35,474.5,514.3,
01-16,,,,,,,,235.34,212.73,109.48,,,227.74,262.04,243.5,226.0,,392.2,317.5,421.0,480.95,,
01-17,,,,,,,,232.35,209.46,,,244.87,229.98,258.55,248.7,,,391.7,326.5,415.9,485.15,,592.55
01-18,,,,,,,,234.5,206.68,,271.08,244.44,230.47,262.48,,,232.0,387.0,333.1,419.7,,518.8,544.8
01-19,,,,,,,,237.78,,107.38,270.05,243.31,231.81,,,225.3,236.05,380.75,328.0,,,510.65,566.9
01-20,,,,,,,,,,103.94,265.42,241.88,230.67,,249.8,227.0,231.9,387.5,,,484.85,508.9,561.7
01-21,,,,,,,,,196.12,107.58,257.4,246.81,,262.58,250.18,234.6,237.5,,,422.3,486.15,499.3,564.8
01-22,,,,,,,,239.12,187.79,102.9,247.94,,,264.83,250.8,241.8,250.4,,332.95,416.9,478.15,491.15,
01-23,,,,,,,,236.14,178.39,102.93,,,233.63,265.1,248.51,243.9,,390.2,335.0,419.9,473.1,,
01-24,,,,,,,,237.43,185.82,,,242.63,228.63,268.49,247.5,,,388.15,344.5,408.5,474.0,,546.9
01-25,,,,,,,,239.27,189.69,,251.25,240.89,226.84,272.93,,,255.0,383.7,351.5,414.0,,495.8,548.4
01-26,,,,,,,,238.04,,113.67,238.38,247.21,228.64,,,237.25,255.9,389.0,351.8,,,493.95,532.75
01-27,,,,,,,,,,110.05,233.95,252.74,226.92,,246.66,239.0,264.4,402.0,,,468.3,482.2,563.2
01-28,,,,,,,,,180.68,112.39,237.09,252.91,,275.15,244.66,231.5,267.35,,,411.2,477.7,481.85,566.5
01-29,,,,,,,,235.66,186.09,112.44,236.02,,,271.01,244.2,226.55,272.45,,346.35,412.9,481.7,475.2,
01-30,,,,,,,,235.16,180.86,112.83,,,223.54,266.81,246.1,229.35,,399.0,342.1,415.8,481.2,,
01-31,,,,,,,,234.11,171.35,,,254.61,225.23,266.46,244.49,,,400.6,343.2,411.25,480.5,,576.95
02-01,,,,,,,,238.72,177.89,,233.82,259.28,227.4,261.87,,,269.8,401.5,344.95,411.95,,473.6,574.15
02-02,,,,,,,,239.27,,110.87,241.8,258.11,230.18,,,230.55,271.8,397.3,339.9,,,485.9,575.7
02-03,,,,,,,,,,111.11,237.7,252.83,233.59,,238.61,238.35,273.1,397.85,,,479.95,488.15,569.0
02-04,,,,,,,,,183.43,112.08,231.11,257.13,,257.92,243.35,239.0,283.0,,,411.0,480.0,485.75,572.0
02-05,,,,,,,,239.06,180.27,107.71,223.42,,,258.17,242.7,251.0,281.55,,338.3,428.5,477.0,492.85,
02-06,,,,,,,,239.61,176.88,111.73,,,229.73,256.66,244.42,261.0,,394.0,330.0,421.55,475.6,,
02-07,,,,,,,,238.97,168.98,,,257.44,223.83,255.69,245.98,,,389.7,336.0,411.55,463.6,,569.8
02-08,,,,,,,,233.04,166.15,,217.08,252.8,216.75,255.44,,,276.05,378.05,326.65,411.6,,497.7,570.05
02-09,,,,,,,,233.09,,119.09,221.16,248.73,211.89,,,257.0,268.6,379.8,324.55,,,494.85,579.0
02-10,,,,,,,,,,128.87,219.53,246.7,211.68,,247.41,257.05,265.5,377.6,,,450.0,490.85,569.4
02-11,,,,,,,,,173.6,129.87,223.97,255.13,,257.39,248.2,265.35,264.85,,,410.5,454.3,501.0,547.4
02-12,,,,,,,,227.28,179.58,121.9,222.68,,,254.2,248.35,274.05,270.7,,325.3,414.5,465.8,504.15,
02-13,,,,,,,,228.83,186.37,130.09,,,215.97,263.76,243.78,290.2,,379.0,325.4,401.6,463.0,,
02-14,,,,,,,,229.29,191.87,,,254.34,215.27,258.5,247.35,,,369.85,326.0,394.85,460.5,,556.0
02-15,,,,,,,,226.47,193.09,,226.07,257.84,218.94,255.19,,,271.0,360.0,324.3,403.5,,518.15,565.95
02-16,,,,,,,,226.29,,124.9,233.5,257.9,219.43,,,279.7,277.4,362.0,324.2,,,528.1,571.55
02-17,,,,,,,,,,113.38,232.06,257.6,218.47,,250.0,275.95,279.9,354.0,,,464.7,507.2,549.5
02-18,,,,,,,,,198.88,109.87,229.58,254.72,,253.57,250.0,281.45,283.35,,,405.0,452.2,508.0,519.5
02-19,,,,,,,,226.44,200.77,114.5,236.51,,,255.59,247.4,275.75,278.4,,324.0,402.95,465.65,514.1,
02-20,,,,,,,,226.36,197.76,111.94,,,219.32,252.04,246.23,274.0,,349.0,322.0,402.9,470.4,513.25,
02-21,,,,,,,,231.25,200.74,,,262.36,219.83,251.32,249.75,,,354.0,333.5,396.45,461.75,,438.7
02-22,,,,,,,,236.16,202.05,,236.51,265.08,216.99,252.3,,,285.0,347.0,337.3,401.5,,511.35,431.3
02-23,,,,,,,,236.16,,111.94,236.51,265.08,216.99,,,274.0,285.0,347.0,337.3,,,,
02-24,,,,,,,,,,112.28,230.66,274.25,225.55,,249.25,268.65,281.7,343.0,,,,516.8,274.7
02-25,,,,,,,,,202.05,113.5,227.32,271.98,,251.27,247.9,263.45,279.5,,,396.5,443.85,534.8,307.95
02-26,,,,,,,,234.86,202.17,123.58,230.81,,,248.54,246.84,263.85,283.3,,341.8,399.0,443.7,525.9,
02-27,,,,,,,,227.81,199.22,124.86,,,226.26,247.31,242.17,265.85,,331.05,337.5,400.4,422.05,,
02-28,,,,,,,,220.38,199.24,,,271.85,224.54,244.42,244.2,,,331.1,330.5,398.8,403.4,,
02-29,,,,,,,,,195.74,,,,225.82,,,,287.6,,,,,,
03-01,,,,,,,,211.87,,,234.85,268.36,222.3,241.19,,,289.9,341.8,323.5,398.25,,524.05,
03-02,,,,,,,,210.06,,121.05,236.62,270.04,224.9,,,269.7,287.0,336.6,319.5,,394.5,528.85,
03-03,,,,,,,,,197.31,124.48,237.98,269.57,,,234.08,277.0,294.25,336.5,,,406.0,535.15,
03-04,,,,,,,,,199.67,130.54,238.07,266.18,,241.2,238.41,264.95,302.25,,,398.05,415.95,539.7,
03-05,,,,,,,,202.1,202.05,125.05,243.54,,227.79,245.24,236.61,269.6,,,320.5,395.9,410.6,556.5,
03-06,,,,,,,,204.03,200.58,130.02,,,219.92,247.8,236.0,263.5,,332.0,318.7,402.3,392.95,,
03-07,,,,,,,,213.05,195.74,,,269.31,221.21,248.08,236.0,,301.0,329.1,313.3,402.0,,,
03-08,,,,,,,,213.05,,,243.54,269.31,221.21,248.08,,,301.0,329.1,,,,,
03-09,,,,,,,,217.24,,130.02,239.43,264.03,221.21,,,263.5,296.0,318.85,312.65,,,572.0,
03-10,,,,,,,,,195.74,149.88,237.77,253.44,,,236.0,253.0,301.55,315.0,,,326.5,560.5,
03-11,,,,,,,,,201.9,144.73,237.77,253.17,,248.74,229.48,251.45,301.6,,,399.75,314.05,568.0,
03-12,,,,,,,,213.25,203.73,144.02,239.41,,221.48,248.38,224.0,247.7,,,318.9,397.5,277.5,568.6,
03-13,,,,,,,,213.7,201.11,153.02,,,222.11,246.58,224.43,241.3,,318.25,314.35,400.0,266.25,,
03-14,,,,,,,,205.45,201.69,,,255.78,223.21,244.48,226.88,,301.05,315.4,310.35,398.3,,,
03-15,,,,,,,,207.52,,,235.8,249.85,224.01,242.45,,,300.6,314.7,310.25,401.25,,577.25,
03-16,,,,,,,,209.95,,156.08,237.62,252.41,219.64,,,236.7,301.25,313.95,317.6,,258.5,572.0,
03-17,,,,,,,,,194.09,159.16,233.71,256.66,,,228.0,237.0,309.4,314.45,,,249.15,554.0,
03-18,,,,,,,,,195.08,147.81,232.65,256.01,,238.1,232.92,243.4,315.55,,,399.0,234.0,559.45,
03-19,,,,,,,,215.34,194.13,158.53,228.59,,214.16,235.8,231.62,237.05,,,318.85,399.0,264.4,556.35,
03-20,,,,,,,,213.39,188.07,157.92,,,210.76,237.44,232.5,239.3,,311.15,315.4,408.5,287.75,,
03-21,,,,,,,,215.91,192.49,,,256.99,209.46,242.44,229.73,,313.0,316.0,317.35,409.5,,,
03-22,,,,,,,,215.66,,,224.52,258.09,209.02,237.8,,,318.05,320.35,316.1,408.4,,562.95,
03-23,,,,,,,,218.17,,169.13,223.99,264.82,210.43,,,239.95,309.2,317.95,313.15,,274.0,572.0,
03-24,,,,,,,,,197.98,160.56,225.62,268.65,,,228.0,244.0,304.8,315.65,,,298.5,570.55,360.2
03-25,,,,,,,,,194.09,165.56,225.55,267.86,,241.27,231.42,242.7,304.5,,,404.25,304.75,570.2,365.1
03-26,,,,,,,,219.62,198.02,167.18,233.24,,212.32,237.58,232.55,237.1,,,313.3,405.2,316.2,579.35,
03-27,,,,,,,,216.77,206.13,157.54,,,210.36,238.47,232.55,237.25,,309.8,309.4,404.35,302.8,,
03-28,,,,,,,,216.52,212.97,,,270.84,207.07,236.97,232.4,,302.5,314.6,307.65,407.5,,,357.95
03-29,,,,,,,,217.16,,,234.86,264.01,205.09,238.73,,,296.4,322.2,313.35,412.0,,576.2,370.0
03-30,,,,,,,,215.92,,144.25,235.29,263.97,210.05,,,247.5,307.8,328.7,314.7,,301.0,570.95,387.0
03-31,,,,,,,,,211.03,146.25,234.08,260.17,,,234.53,252.15,305.2,323.5,,,314.35,570.9,437.5
04-01,,,,,,,,,213.72,151.11,237.34,263.89,,236.49,231.7,261.35,301.8,,,419.7,321.0,565.05,450.0
04-02,,,,,,,,217.25,213.68,164.18,236.16,,210.78,236.56,233.0,262.55,,,313.5,418.0,340.5,567.0,
04-03,,,,,,,,217.14,212.3,170.27,,,212.02,235.37,230.5,263.7,,328.4,311.6,417.95,345.0,,
04-04,,,,,,,,216.75,213.28,,,266.46,209.36,237.2,232.49,,309.5,331.7,316.1,422.45,,,443.9
04-05,,,,,,,,215.96,,,236.41,267.47,211.19,230.79,,,306.2,338.2,324.25,421.5,,560.0,419.0
04-06,,,,,,,,215.36,,167.99,248.32,270.21,207.96,,,266.15,309.05,337.95,319.95,,343.0,547.5,405.0
04-07,,,,,,,,,219.79,169.05,246.69,266.25,,,231.42,264.1,306.8,335.95,,,339.5,550.0,408.5
04-08,,,,,,,,,216.48,172.23,249.59,265.52,,225.98,229.95,263.7,316.5,,,420.9,341.5,547.0,403.05
04-09,,,,,,,,215.46,220.68,184.06,255.17,,209.48,224.59,231.99,258.55,,,299.95,415.9,353.0,536.05,
04-10,,,,,,,,213.81,226.77,183.94,,,208.19,225.85,234.58,256.95,,327.2,304.25,425.5,344.0,,
04-11,,,,,,,,214.24,222.06,,,263.52,209.04,221.66,232.52,,325.0,330.5,319.5,431.0,,,414.0
04-12,,,,,,,,217.96,,,252.85,255.18,208.72,223.27,,,320.0,325.1,324.8,432.5,,539.35,412.1
04-13,,,,,,,,229.28,,176.85,247.17,252.58,210.11,,,255.5,322.3,321.9,321.6,,336.7,545.4,406.05
04-14,,,,,,,,,224.16,176.66,250.86,244.95,,,233.88,249.5,313.6,315.75,,,330.95,554.4,391.0
04-15,,,,,,,,,230.56,170.83,251.1,247.38,,221.04,225.95,254.4,309.75,,,428.9,307.25,558.2,390.5
04-16,,,,,,,,234.73,231.9,174.85,245.07,,210.89,219.61,225.59,259.25,,,320.25,435.15,305.75,553.35,
04-17,,,,,,,,229.74,228.0,182.2,,,211.3,214.32,228.45,256.0,,323.25,323.1,436.5,313.9,,
04-18,,,,,,,,227.3,232.26,,,238.75,211.18,213.31,231.77,,303.9,318.4,333.45,435.65,,,384.85
04-19,,,,,,,,220.0,,,238.36,249.34,215.35,214.67,,,311.75,315.05,336.9,432.0,,549.05,385.0
04-20,,,,,,,,223.97,,173.43,242.21,253.94,216.54,,,260.5,322.05,316.6,339.9,,307.9,543.2,391.0
04-21,,,,,,,,,229.01,170.95,242.33,251.8,,,230.9,259.7,323.0,317.4,,,304.0,544.15,388.0
04-22,,,,,,,,,230.89,175.21,238.46,251.58,,217.08,230.0,252.4,322.1,,,439.6,321.95,543.3,397.35
04-23,,,,,,,,224.04,233.6,177.99,241.69,,209.85,215.23,228.17,249.1,,,345.0,441.0,335.0,538.0,
04-24,,,,,,,,229.24,230.36,174.54,,,208.32,219.52,225.98,258.2,,320.3,354.8,441.3,324.0,,
04-25,,,,,,,,233.07,232.36,,,246.43,207.78,216.56,223.62,,326.9,320.15,355.0,436.0,,,388.5
04-26,,,,,,,,230.82,,,243.81,247.7,205.94,214.16,,,331.85,326.05,373.05,434.45,,530.1,391.0
04-27,,,,,,,,219.72,,167.31,241.18,242.79,209.02,,,256.0,334.95,318.35,376.05,,322.9,526.35,397.95
04-28,,,,,,,,,233.45,163.73,240.1,246.58,,,219.8,256.55,341.75,317.25,378.25,,325.1,526.8,400.0
04-29,,,,,,,,,231.91,177.33,241.2,244.19,,213.52,223.51,255.0,351.0,,,433.7,337.95,527.0,409.0
04-30,,,,,,,,223.13,231.03,177.05,237.34,,210.18,214.3,222.62,256.5,,,384.95,428.8,335.65,525.55,
05-01,,,,,,,,223.13,231.03,177.05,,,210.18,214.3,222.62,256.5,,317.25,,,,,
05-02,,,,,,,,220.28,231.03,,,244.19,209.58,214.97,222.8,,351.0,316.0,405.0,423.25,,,
05-03,,,,,,,,223.89,,,237.34,236.74,207.15,219.48,,,351.0,311.65,391.2,423.55,,,
