,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01-01,,0.42,10.23,30.53,50.21,,,750.88,690.67,90.06,690.09,,,670.34,800.03,370.7,760.5,,1890.0,,,,
01-02,,0.42,10.23,30.53,50.21,,310.96,750.88,690.67,90.06,,,590.19,670.34,800.03,370.7,,1290.75,1890.0,,,,
01-03,,0.38,10.25,30.53,,60.95,310.96,750.88,690.67,,,750.06,610.25,670.34,800.03,,,1360.59,1970.3,1650.44,2260.4,,2890.74
01-04,0.5,0.4,10.24,,,60.95,310.96,750.88,690.67,,690.09,750.06,610.38,670.34,,,730.88,1340.8,2030.03,1670.27,,2470.82,2890.01
01-05,0.61,0.41,,,50.4,60.95,310.96,750.88,,90.06,690.09,750.06,600.81,,,380.59,740.23,1330.47,2030.5,,,2460.06,2740.8
01-06,0.62,,,30.55,50.48,60.95,310.96,,,90.06,690.09,750.06,600.99,,790.4,390.5,720.62,1320.5,,,2250.95,2460.76,2790.05
01-07,0.62,,10.24,30.55,50.48,60.95,,,690.67,90.06,690.09,750.06,,670.34,790.4,390.5,720.62,,,,,,
01-08,,0.41,10.23,30.5,50.56,,,750.88,690.67,90.06,690.09,,,700.42,780.05,430.75,720.62,,2030.5,1670.01,2300.38,2510.28,
01-09,,0.42,10.23,30.56,50.73,,310.96,690.52,690.43,90.06,,,610.91,700.57,770.86,420.9,,1300.0,2010.3,1690.8,2310.0,,
01-10,0.66,0.42,10.21,30.54,,60.95,360.65,660.69,700.28,,,750.06,640.23,700.86,780.25,,,1300.59,1970.52,1690.79,2320.0,,2770.8
01-11,0.59,0.42,10.25,,,70.02,400.82,710.54,700.35,,710.86,750.88,620.77,710.36,,,690.11,1280.8,1990.78,1700.05,,2570.04,2780.15
01-12,0.63,0.42,,,50.69,60.98,420.23,710.59,,90.11,720.44,770.07,620.64,,,420.41,690.32,1280.12,1990.49,,,2560.51,2760.0
01-13,0.7,,,30.57,50.68,60.97,410.46,,,90.09,730.16,750.95,620.52,,790.5,400.82,700.6,1240.26,,,2340.95,2520.71,2630.95
01-14,0.75,,10.22,30.55,50.72,60.96,,,700.33,80.75,730.25,750.6,,720.52,780.23,410.5,700.57,,,1700.0,2320.2,2550.1,2520.64
01-15,,0.43,10.28,30.58,50.62,,,750.49,700.95,80.7,720.89,,,710.46,790.16,410.7,660.8,,2010.9,1710.8,2300.16,2490.4,
01-16,,0.43,10.29,30.59,50.71,,400.99,780.31,670.36,80.7,,,620.55,720.01,790.02,420.03,,1220.76,2000.82,1730.1,2300.99,,
01-17,0.66,0.45,10.36,30.51,,60.85,390.11,760.48,670.21,,,760.59,630.17,720.96,790.83,,,1220.64,2010.34,1740.48,2340.57,,2500.65
01-18,0.64,0.44,10.42,,,60.81,360.69,750.79,650.89,,730.81,750.62,630.17,740.56,,,660.33,1240.0,2040.63,1780.7,,2530.74,2280.61
01-19,0.59,0.46,,,50.7,60.86,400.88,750.84,,80.12,730.57,740.74,640.17,,,420.09,660.1,1240.99,2030.97,,,2520.72,2380.5
01-20,0.65,,,30.56,50.87,60.78,380.75,,,70.9,720.13,720.89,630.57,,810.17,420.24,630.55,1260.48,,,2380.5,2530.5,2440.0
01-21,0.67,,10.4,30.51,50.94,60.79,,,600.87,80.14,700.67,720.49,,740.74,810.1,430.29,650.39,,,1790.01,2380.4,2490.31,2390.12
01-22,,0.44,10.41,30.51,50.95,,,770.66,580.79,70.61,680.15,,,730.38,810.0,440.8,680.75,,2020.5,1790.11,2360.5,2430.6,
01-23,,0.45,10.4,30.53,50.97,,380.2,760.43,560.25,70.26,,,630.9,750.03,810.05,450.94,,1240.78,2020.71,1820.01,2330.77,,
01-24,0.61,0.47,10.36,30.51,,60.91,400.26,750.56,600.35,,,710.21,640.23,740.53,790.41,,,1270.7,2040.2,1810.93,2340.61,,2300.63
01-25,0.6,0.47,10.28,,,70.04,390.92,780.51,600.16,,700.14,720.02,640.91,750.06,,,660.75,1270.45,2090.0,1810.12,,2440.3,2310.6
