,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01-01,,0.7,20.22,60.11,70.58,,,920.2,1020.3,220.79,830.14,,,920.92,1010.05,540.9,1010.26,,2250.2,,,,
01-02,,0.7,20.22,60.11,70.58,,370.65,920.2,1020.3,220.79,,,790.35,920.92,1010.05,540.9,,1730.25,2250.2,,,,
01-03,,0.65,20.27,60.11,,130.91,370.65,920.2,1020.3,,,1040.36,820.35,920.92,1010.05,,,1800.12,2310.9,1860.99,2550.0,,3050.47
01-04,10.0,0.69,20.3,,,130.91,370.65,920.2,1020.3,,830.14,1040.36,830.4,920.92,,,980.01,1750.95,2380.8,1900.99,,2760.0,3040.24
01-05,10.22,0.7,,,70.96,130.91,370.65,920.2,,220.79,830.14,1040.36,820.56,,,560.37,980.89,1710.9,2380.6,,,2730.82,2870.01
01-06,10.27,,,60.15,80.25,130.91,370.65,,,220.79,830.14,1040.36,830.23,,980.63,580.28,960.85,1700.69,,,2530.9,2740.68,2930.92
01-07,10.27,,20.3,60.15,80.25,130.91,,,1020.3,220.79,830.14,1040.36,,920.92,980.63,580.28,960.85,,,,,,
01-08,,0.7,20.36,60.14,80.34,,,920.2,1020.3,220.79,830.14,,,980.35,980.2,650.7,960.85,,2380.6,1910.24,2590.15,2820.08,
01-09,,0.71,20.33,60.23,80.65,,370.65,830.53,1010.25,220.79,,,830.83,980.27,970.97,630.1,,1680.35,2400.4,1970.0,2570.99,,
01-10,10.34,0.72,20.31,60.26,,130.91,400.08,820.6,1030.48,,,1040.36,860.73,980.39,990.41,,,1710.6,2370.76,1960.75,2580.19,,2910.69
01-11,10.22,0.74,20.33,,,140.16,420.1,860.85,1040.82,,860.72,1030.83,840.89,990.57,,,910.03,1690.05,2390.0,1960.8,,2880.85,2910.88
01-12,10.27,0.75,,,80.59,140.0,470.5,860.65,,220.81,850.09,1070.08,840.2,,,620.9,910.71,1680.27,2370.75,,,2880.45,2900.4
01-13,10.39,,,60.27,80.56,130.96,450.51,,,220.21,860.63,1070.44,830.69,,1000.24,600.31,910.5,1640.9,,,2620.4,2830.66,2720.5
01-14,10.5,,20.31,60.19,80.62,130.85,,,1040.92,200.8,870.49,1070.17,,1010.0,990.25,600.05,930.04,,,1960.8,2590.05,2840.28,2610.0
01-15,,0.75,20.46,60.3,80.34,,,890.6,1050.69,200.19,880.13,,,990.98,1000.69,610.8,870.27,,2380.85,1980.0,2560.31,2760.82,
01-16,,0.75,20.52,60.23,80.52,,450.83,940.75,1010.48,190.96,,,830.9,990.94,1000.6,610.99,,1640.66,2390.64,2010.26,2570.51,,
01-17,10.38,0.79,20.69,60.12,,130.61,430.1,920.4,1010.34,,,1090.53,840.65,1010.14,1010.08,,,1650.98,2390.82,2030.32,2620.5,,2570.78
01-18,10.32,0.78,20.78,,,130.55,400.51,900.26,990.23,,900.43,1080.16,840.72,1030.4,,,860.15,1650.24,2450.5,2080.44,,2800.95,2340.7
01-19,10.22,0.8,,,80.52,130.57,430.18,900.4,,180.35,920.04,1070.86,850.66,,,610.8,860.68,1660.3,2420.45,,,2770.09,2440.86
01-20,10.34,,,60.24,80.53,130.42,440.1,,,170.1,900.61,1050.33,850.11,,1010.96,600.8,830.83,1670.49,,,2660.28,2780.8,2540.61
01-21,10.37,,20.73,60.11,80.55,130.5,,,910.57,170.47,890.17,1050.74,,1030.68,1020.14,620.8,860.0,,,2070.17,2680.06,2750.75,2460.9
01-22,,0.77,20.75,60.14,80.57,,,920.72,920.81,150.91,860.54,,,1020.45,1020.2,640.35,910.5,,2430.99,2070.95,2660.54,2670.5,
