,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01-01,,200.61,600.1,700.85,1100.36,,,2900.67,1500.58,600.09,1400.61,,,1900.92,2500.88,2900.5,4400.23,,2800.15,,,,
01-02,,200.61,600.1,700.85,1100.36,,2500.68,2900.67,1500.58,600.09,,,1600.5,1900.92,2500.88,2900.5,,3200.07,2800.15,,,,
01-03,,200.46,600.28,700.85,,1500.04,2500.68,2900.67,1500.58,,,1500.67,1600.72,1900.92,2500.88,,,3300.0,2800.55,3900.15,3800.125,,3800.87
01-04,200.4,200.65,600.3,,,1500.04,2500.68,2900.67,1500.58,,1400.61,1500.67,1600.64,1900.92,,,4300.69,3200.9,2800.49,3800.8,,4200.33,3900.715
01-05,300.05,200.72,,,1100.62,1500.04,2500.68,2900.67,,600.09,1400.61,1500.67,1600.51,,,2900.6,4300.9,3200.25,2800.48,,,4200.07,3900.075
01-06,300.06,,,700.96,1100.67,1500.04,2500.68,,,600.09,1400.61,1500.67,1600.62,,2500.25,3000.2,4300.6,3200.55,,,3800.18,4100.945,3800.9
01-07,300.06,,600.3,700.96,1100.67,1500.04,,,1500.58,600.09,1400.61,1500.67,,1900.92,2500.25,3000.2,4300.6,,,,,,
01-08,,200.72,600.63,700.63,1100.41,,,2900.67,1500.58,600.09,1400.61,,,2000.67,2500.06,3100.6,4300.6,,2800.48,3800.66,3800.0,4200.4,
01-09,,200.76,600.66,700.57,1100.73,,2500.68,2600.94,1500.59,600.09,,,1600.6,2000.75,2500.06,3200.01,,3200.22,2800.6,3800.39,3700.65,,
01-10,200.91,200.93,600.73,700.48,,1500.04,2700.68,2600.17,1500.56,,,1500.67,1600.73,2000.51,2500.4,,,3200.19,2800.63,3900.0,3600.975,,3800.955
